tankId,date,hoursUsed,envSeverity,overloadPct,missionType
TNK-B-023,2024-01-01,8.647703698979319,0.6307654485587337,0.3034316987509656,heavy
TNK-B-023,2024-01-02,6.080457498660964,0.5062963942092494,0.1423465954562398,moderate
TNK-B-023,2024-01-03,8.066197822951018,0.7228072743762793,0.34481351819089073,heavy
TNK-B-023,2024-01-04,6.667854040224361,0.4720195326652409,0.16724113378386432,moderate
TNK-B-023,2024-01-05,8.414174527365887,0.6381369644670076,0.34800579503477697,heavy
TNK-B-023,2024-01-06,11.183866978271897,0.6731440702240619,0.39795658781424026,heavy
TNK-B-023,2024-01-07,5.280962511463285,0.35266090775350334,0.1350375343376827,moderate
TNK-B-023,2024-01-08,11.161414665741562,0.8467808664421765,0.41507303376661314,heavy
TNK-B-023,2024-01-09,7.879397756194807,0.4648200668226591,0.17191313609319744,moderate
TNK-B-023,2024-01-10,0.0420414171094976,0.07338857614447457,0.0,standby
TNK-B-023,2024-01-11,3.3213713192597636,0.2466398951798532,0.084500474992438,light
TNK-B-023,2024-01-12,10.294588266977819,0.8659772943843691,0.45702785137515445,heavy
TNK-B-023,2024-01-13,2.798661519695003,0.24565378639288912,0.03171740544779237,light
TNK-B-023,2024-01-14,10.253383640451606,0.6136235587606345,0.4944110888531631,heavy
TNK-B-023,2024-01-15,8.636141266903401,0.6928979741255434,0.5426495280317635,heavy
TNK-B-023,2024-01-16,3.036252152198628,0.20507381149364998,0.05173695100558025,light
TNK-B-023,2024-01-17,6.020513578106021,0.5453231206248413,0.16210053600953164,moderate
TNK-B-023,2024-01-18,9.499575531046556,0.6433449315598802,0.44221349766699813,heavy
TNK-B-023,2024-01-19,6.3976883811519905,0.5511775102616753,0.24028528460377896,moderate
TNK-B-023,2024-01-20,11.236511545853258,0.6548788267436575,0.4292254825759091,heavy
TNK-B-023,2024-01-21,7.433505013928787,0.45431053115856346,0.2980393134535034,moderate
TNK-B-023,2024-01-22,5.197500015755429,0.31829424713281207,0.1906377399640387,moderate
TNK-B-023,2024-01-23,3.3849033475878927,0.11835229256432951,0.07674609127569611,light
TNK-B-023,2024-01-24,5.540373235819727,0.346878106073203,0.2061219151502904,moderate
TNK-B-023,2024-01-25,7.352069370198048,0.41812718978457597,0.15291486310636818,moderate
TNK-B-023,2024-01-26,11.099773440233559,0.7671088073271244,0.3730773513920155,heavy
TNK-B-023,2024-01-27,11.030911743561685,0.6644894096818588,0.5923750448798513,heavy
TNK-B-023,2024-01-28,1.5762549558447614,0.2742362222776603,0.04142733447154591,light
TNK-B-023,2024-01-29,2.5126480752582236,0.27984216284093777,0.03373424442835841,light
TNK-B-023,2024-01-30,3.972897053308435,0.2637819326326266,0.07477193666399685,light
TNK-B-023,2024-01-31,9.520505168108386,0.705098982418926,0.5797734137201649,heavy
TNK-B-023,2024-02-01,10.246652325375937,0.6392885294289555,0.45297877164527556,heavy
TNK-B-023,2024-02-02,3.624175962131819,0.21619197260397516,0.04775879815803801,light
TNK-B-023,2024-02-03,6.517175984255163,0.405924561845832,0.24161898357393094,moderate
TNK-B-023,2024-02-04,2.6110733711908916,0.1984567880716427,0.08096890534994171,light
TNK-B-023,2024-02-05,10.206891183385864,0.7325745845250609,0.55991147483195,heavy
TNK-B-023,2024-02-06,8.45551773668842,0.7155262249578522,0.4034513487201013,heavy
TNK-B-023,2024-02-07,2.588615610334366,0.2586676138419022,0.011808944306748548,light
TNK-B-023,2024-02-08,1.8307557917597765,0.2722783810821412,0.07814805682067436,light
TNK-B-023,2024-02-09,8.334974652506064,0.7024642077033192,0.4412727201844656,heavy
TNK-B-023,2024-02-10,8.464694700080994,0.6165190853424791,0.39907700425045006,heavy
TNK-B-023,2024-02-11,7.287464723439793,0.3401303836614211,0.2922474414190597,moderate
