tankId,componentId,eventTime,type,actions,downtimeHrs,partsUsed,resultStatus,notes
TNK-C-091,eng-001,2025-09-25 02:10:42,unscheduled,Engine inspection and servicing,3.365834950478572,"[""Engine filter"", ""Engine seal""]",completed,Routine unscheduled maintenance performed
TNK-C-091,eng-001,2025-08-23 02:10:42,unscheduled,Engine inspection and servicing,3.924165805932546,"[""Engine filter"", ""Engine seal""]",completed,Routine unscheduled maintenance performed
TNK-C-091,eng-001,2025-08-19 02:10:42,scheduled,Engine inspection and servicing,8.333561164301674,"[""Engine filter"", ""Engine seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,eng-001,2025-10-19 02:10:42,scheduled,Engine inspection and servicing,5.358045325836816,"[""Engine filter"", ""Engine seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,eng-001,2025-10-07 02:10:42,scheduled,Engine inspection and servicing,3.9595523444762453,"[""Engine filter"", ""Engine seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,eng-001,2025-08-28 02:10:42,unscheduled,Engine inspection and servicing,4.777511551247388,"[""Engine filter"", ""Engine seal""]",completed,Routine unscheduled maintenance performed
TNK-C-091,eng-001,2025-09-28 02:10:42,preventive,Engine inspection and servicing,9.776063110155427,"[""Engine filter"", ""Engine seal""]",completed,Routine preventive maintenance performed
TNK-C-091,trn-001,2025-09-19 02:10:42,preventive,Transmission inspection and servicing,2.7026305721564077,"[""Transmission filter"", ""Transmission seal""]",completed,Routine preventive maintenance performed
TNK-C-091,trn-001,2025-09-06 02:10:42,preventive,Transmission inspection and servicing,11.389052041355654,"[""Transmission filter"", ""Transmission seal""]",completed,Routine preventive maintenance performed
TNK-C-091,trn-001,2025-10-20 02:10:42,preventive,Transmission inspection and servicing,8.736729008302477,"[""Transmission filter"", ""Transmission seal""]",completed,Routine preventive maintenance performed
TNK-C-091,trn-001,2025-09-12 02:10:42,preventive,Transmission inspection and servicing,9.394692978567972,"[""Transmission filter"", ""Transmission seal""]",completed,Routine preventive maintenance performed
TNK-C-091,hyd-001,2025-09-18 02:10:42,preventive,Hydraulics inspection and servicing,7.46110523435154,"[""Hydraulics filter"", ""Hydraulics seal""]",completed,Routine preventive maintenance performed
TNK-C-091,hyd-001,2025-08-21 02:10:42,unscheduled,Hydraulics inspection and servicing,8.671298502247188,"[""Hydraulics filter"", ""Hydraulics seal""]",completed,Routine unscheduled maintenance performed
TNK-C-091,hyd-001,2025-10-05 02:10:42,scheduled,Hydraulics inspection and servicing,2.4617483153319357,"[""Hydraulics filter"", ""Hydraulics seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,hyd-001,2025-10-22 02:10:42,scheduled,Hydraulics inspection and servicing,3.370967519249403,"[""Hydraulics filter"", ""Hydraulics seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,hyd-001,2025-09-24 02:10:42,preventive,Hydraulics inspection and servicing,3.5222275524381534,"[""Hydraulics filter"", ""Hydraulics seal""]",completed,Routine preventive maintenance performed
TNK-C-091,hyd-001,2025-09-08 02:10:42,scheduled,Hydraulics inspection and servicing,11.65797418190739,"[""Hydraulics filter"", ""Hydraulics seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,hyd-001,2025-09-10 02:10:42,scheduled,Hydraulics inspection and servicing,5.893664022829038,"[""Hydraulics filter"", ""Hydraulics seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,sus-001,2025-08-23 02:10:42,scheduled,Suspension inspection and servicing,5.86614527558492,"[""Suspension filter"", ""Suspension seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,sus-001,2025-09-20 02:10:42,scheduled,Suspension inspection and servicing,9.233151200576254,"[""Suspension filter"", ""Suspension seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,sus-001,2025-08-21 02:10:42,unscheduled,Suspension inspection and servicing,4.280442592491623,"[""Suspension filter"", ""Suspension seal""]",completed,Routine unscheduled maintenance performed
TNK-C-091,sus-001,2025-08-24 02:10:42,scheduled,Suspension inspection and servicing,3.545742923129052,"[""Suspension filter"", ""Suspension seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,sus-001,2025-10-21 02:10:42,unscheduled,Suspension inspection and servicing,7.560117284300786,"[""Suspension filter"", ""Suspension seal""]",completed,Routine unscheduled maintenance performed
TNK-C-091,fcs-001,2025-09-23 02:10:42,scheduled,FireControl inspection and servicing,10.549843679925752,"[""FireControl filter"", ""FireControl seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,fcs-001,2025-09-05 02:10:42,scheduled,FireControl inspection and servicing,2.347397592221226,"[""FireControl filter"", ""FireControl seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,fcs-001,2025-09-23 02:10:42,unscheduled,FireControl inspection and servicing,5.2933951031050785,"[""FireControl filter"", ""FireControl seal""]",completed,Routine unscheduled maintenance performed
TNK-C-091,fcs-001,2025-09-11 02:10:42,scheduled,FireControl inspection and servicing,10.209592289552292,"[""FireControl filter"", ""FireControl seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,com-001,2025-10-14 02:10:43,scheduled,Communications inspection and servicing,9.568860441497103,"[""Communications filter"", ""Communications seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,com-001,2025-09-18 02:10:43,scheduled,Communications inspection and servicing,6.930876597821248,"[""Communications filter"", ""Communications seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,com-001,2025-09-01 02:10:43,unscheduled,Communications inspection and servicing,4.291168834390666,"[""Communications filter"", ""Communications seal""]",completed,Routine unscheduled maintenance performed
TNK-C-091,com-001,2025-09-22 02:10:43,scheduled,Communications inspection and servicing,6.789524740563204,"[""Communications filter"", ""Communications seal""]",completed,Routine scheduled maintenance performed
TNK-C-091,com-001,2025-08-31 02:10:43,scheduled,Communications inspection and servicing,3.2007168405235555,"[""Communications filter"", ""Communications seal""]",completed,Routine scheduled maintenance performed
