tankId,componentId,timestamp,feature,value
TNK-C-091,eng-001,2024-01-01 00:00:00,oil_temp,80.0
TNK-C-091,eng-001,2024-01-01 01:00:00,oil_temp,80.353
TNK-C-091,eng-001,2024-01-01 02:00:00,oil_temp,80.335
TNK-C-091,eng-001,2024-01-01 03:00:00,oil_temp,80.072
TNK-C-091,eng-001,2024-01-01 04:00:00,oil_temp,80.468
TNK-C-091,eng-001,2024-01-01 05:00:00,oil_temp,81.489
TNK-C-091,eng-001,2024-01-01 06:00:00,oil_temp,81.134
TNK-C-091,eng-001,2024-01-01 07:00:00,oil_temp,80.0
TNK-C-091,eng-001,2024-01-01 08:00:00,oil_temp,80.0
TNK-C-091,eng-001,2024-01-01 09:00:00,oil_temp,80.308
TNK-C-091,eng-001,2024-01-01 10:00:00,oil_temp,81.463
TNK-C-091,eng-001,2024-01-01 11:00:00,oil_temp,82.037
TNK-C-091,eng-001,2024-01-01 12:00:00,oil_temp,80.168
TNK-C-091,eng-001,2024-01-01 13:00:00,oil_temp,80.0
TNK-C-091,eng-001,2024-01-01 14:00:00,oil_temp,82.025
TNK-C-091,eng-001,2024-01-01 15:00:00,oil_temp,80.947
TNK-C-091,eng-001,2024-01-01 16:00:00,oil_temp,80.8
TNK-C-091,eng-001,2024-01-01 17:00:00,oil_temp,80.017
TNK-C-091,eng-001,2024-01-01 18:00:00,oil_temp,80.0
TNK-C-091,eng-001,2024-01-01 19:00:00,oil_temp,80.0
TNK-C-091,eng-001,2024-01-01 20:00:00,oil_temp,80.0
TNK-C-091,eng-001,2024-01-01 21:00:00,oil_temp,81.484
TNK-C-091,eng-001,2024-01-01 22:00:00,oil_temp,80.321
TNK-C-091,eng-001,2024-01-01 23:00:00,oil_temp,80.812
TNK-C-091,eng-001,2024-01-02 00:00:00,oil_temp,80.5
TNK-C-091,eng-001,2024-01-02 01:00:00,oil_temp,80.271
TNK-C-091,eng-001,2024-01-02 02:00:00,oil_temp,80.0
TNK-C-091,eng-001,2024-01-02 03:00:00,oil_temp,80.0
TNK-C-091,eng-001,2024-01-02 04:00:00,oil_temp,80.802
TNK-C-091,eng-001,2024-01-02 05:00:00,oil_temp,80.0
TNK-C-091,eng-001,2024-01-02 06:00:00,oil_temp,80.0
TNK-C-091,eng-001,2024-01-02 07:00:00,oil_temp,80.019
TNK-C-091,eng-001,2024-01-02 08:00:00,oil_temp,80.522
TNK-C-091,eng-001,2024-01-02 09:00:00,oil_temp,80.0
TNK-C-091,eng-001,2024-01-02 10:00:00,oil_temp,80.53
TNK-C-091,eng-001,2024-01-02 11:00:00,oil_temp,80.765
TNK-C-091,eng-001,2024-01-02 12:00:00,oil_temp,80.618
TNK-C-091,eng-001,2024-01-02 13:00:00,oil_temp,80.0
TNK-C-091,eng-001,2024-01-02 14:00:00,oil_temp,80.183
TNK-C-091,eng-001,2024-01-02 15:00:00,oil_temp,80.042
TNK-C-091,eng-001,2024-01-02 16:00:00,oil_temp,81.735
TNK-C-091,eng-001,2024-01-02 17:00:00,oil_temp,80.244
TNK-C-091,eng-001,2024-01-02 18:00:00,oil_temp,80.623
TNK-C-091,eng-001,2024-01-02 19:00:00,oil_temp,80.921
TNK-C-091,eng-001,2024-01-02 20:00:00,oil_temp,80.742
TNK-C-091,eng-001,2024-01-02 21:00:00,oil_temp,80.739
TNK-C-091,eng-001,2024-01-02 22:00:00,oil_temp,80.381
TNK-C-091,eng-001,2024-01-02 23:00:00,oil_temp,80.614
TNK-C-091,eng-001,2024-01-03 00:00:00,oil_temp,80.045
TNK-C-091,eng-001,2024-01-03 01:00:00,oil_temp,80.794
TNK-C-091,eng-001,2024-01-03 02:00:00,oil_temp,80.803
TNK-C-091,eng-001,2024-01-03 03:00:00,oil_temp,82.742
TNK-C-091,eng-001,2024-01-03 04:00:00,oil_temp,81.41
TNK-C-091,eng-001,2024-01-03 05:00:00,oil_temp,81.618
TNK-C-091,eng-001,2024-01-03 06:00:00,oil_temp,80.589
TNK-C-091,eng-001,2024-01-03 07:00:00,oil_temp,81.519
TNK-C-091,eng-001,2024-01-03 08:00:00,oil_temp,80.541
TNK-C-091,eng-001,2024-01-03 09:00:00,oil_temp,81.722
TNK-C-091,eng-001,2024-01-03 10:00:00,oil_temp,80.746
TNK-C-091,eng-001,2024-01-03 11:00:00,oil_temp,82.319
TNK-C-091,eng-001,2024-01-03 12:00:00,oil_temp,80.0
