tankId,componentId,timestamp,feature,value
TNK-A-047,eng-001,2024-01-01 00:00:00,oil_temp,81.497
TNK-A-047,eng-001,2024-01-01 01:00:00,oil_temp,80.066
TNK-A-047,eng-001,2024-01-01 02:00:00,oil_temp,80.487
TNK-A-047,eng-001,2024-01-01 03:00:00,oil_temp,80.02
TNK-A-047,eng-001,2024-01-01 04:00:00,oil_temp,80.152
TNK-A-047,eng-001,2024-01-01 05:00:00,oil_temp,80.344
TNK-A-047,eng-001,2024-01-01 06:00:00,oil_temp,80.0
TNK-A-047,eng-001,2024-01-01 07:00:00,oil_temp,80.0
TNK-A-047,eng-001,2024-01-01 08:00:00,oil_temp,80.0
TNK-A-047,eng-001,2024-01-01 09:00:00,oil_temp,80.437
TNK-A-047,eng-001,2024-01-01 10:00:00,oil_temp,80.07
TNK-A-047,eng-001,2024-01-01 11:00:00,oil_temp,80.12
TNK-A-047,eng-001,2024-01-01 12:00:00,oil_temp,81.233
TNK-A-047,eng-001,2024-01-01 13:00:00,oil_temp,80.245
TNK-A-047,eng-001,2024-01-01 14:00:00,oil_temp,80.38
TNK-A-047,eng-001,2024-01-01 15:00:00,oil_temp,81.712
TNK-A-047,eng-001,2024-01-01 16:00:00,oil_temp,81.254
TNK-A-047,eng-001,2024-01-01 17:00:00,oil_temp,80.246
TNK-A-047,eng-001,2024-01-01 18:00:00,oil_temp,82.061
TNK-A-047,eng-001,2024-01-01 19:00:00,oil_temp,80.78
TNK-A-047,eng-001,2024-01-01 20:00:00,oil_temp,80.243
TNK-A-047,eng-001,2024-01-01 21:00:00,oil_temp,81.992
TNK-A-047,eng-001,2024-01-01 22:00:00,oil_temp,80.743
TNK-A-047,eng-001,2024-01-01 23:00:00,oil_temp,80.0
TNK-A-047,eng-001,2024-01-02 00:00:00,oil_temp,80.045
TNK-A-047,eng-001,2024-01-02 01:00:00,oil_temp,80.245
TNK-A-047,eng-001,2024-01-02 02:00:00,oil_temp,80.092
TNK-A-047,eng-001,2024-01-02 03:00:00,oil_temp,81.082
TNK-A-047,eng-001,2024-01-02 04:00:00,oil_temp,80.569
TNK-A-047,eng-001,2024-01-02 05:00:00,oil_temp,80.0
TNK-A-047,eng-001,2024-01-02 06:00:00,oil_temp,80.563
TNK-A-047,eng-001,2024-01-02 07:00:00,oil_temp,80.042
TNK-A-047,eng-001,2024-01-02 08:00:00,oil_temp,80.376
